Port,Year,Week,Commercial Market,Commercial Size Class,Median Waiting Time Off Port Limits,Waiting Time Off Port Limits Confidence Score ,Median Time At Port,Time At Port Confidence Score,Median Waiting Time Off Port Limits  Standard Deviation ,Time At Port Standard Deviation,Waiting Time Off Port Limits  % Difference (week-to-week),Time At Port % Difference (week-to-week)
Yantian,2025,7,ALL,ALL,0.2,LOW,0.8,LOW,1,0.4,-85.7,-20
Vung tau,2025,7,ALL,ALL,0.3,MEDIUM,2.3,MEDIUM,0.2,13.8,,130
Tianjin,2025,7,ALL,ALL,0.7,HIGH,1.1,HIGH,6.4,4,-12.5,-15.4
Tanjung pelepas,2025,7,ALL,ALL,0.5,LOW,0.8,LOW,2,0.6,-28.6,14.3
Singapore,2025,7,ALL,ALL,0.9,HIGH,0.8,HIGH,3.6,2.9,0,0
Shanghai,2025,7,ALL,ALL,0.7,HIGH,0.6,HIGH,2.6,4,-22.2,0
Qingdao,2025,7,ALL,ALL,0.5,HIGH,0.8,HIGH,2.4,4.1,-44.4,-11.1
Ningbo,2025,7,ALL,ALL,0.9,HIGH,0.8,HIGH,1.6,2.3,-10,-11.1
Nansha,2025,7,ALL,ALL,0.3,LOW,0.5,LOW,1.7,2.4,-40,-28.6
Hai phong,2025,7,ALL,ALL,0.4,HIGH,1,HIGH,2.2,4.9,100,0
Busan,2025,7,ALL,ALL,0.4,HIGH,0.8,HIGH,9.3,3,-20,0
Yantian,2025,6,ALL,ALL,1.4,LOW,1,LOW,1.4,0.5,40,-28.6
Vung tau,2025,6,ALL,ALL,,MEDIUM,1,MEDIUM,,14.5,,-33.3
Tianjin,2025,6,ALL,ALL,0.8,LOW,1.3,LOW,5.7,4.5,14.3,8.3
Tanjung pelepas,2025,6,ALL,ALL,0.7,HIGH,0.7,HIGH,1.4,1.1,16.7,-12.5
Singapore,2025,6,ALL,ALL,0.9,HIGH,0.8,HIGH,3.9,2.5,12.5,0
Shanghai,2025,6,ALL,ALL,0.9,HIGH,0.6,HIGH,3.3,4.4,-55,0
Qingdao,2025,6,ALL,ALL,0.9,HIGH,0.8,HIGH,1.7,5.3,12.5,-11.1
Ningbo,2025,6,ALL,ALL,1,HIGH,0.9,HIGH,1.8,1.7,-33.3,0
Nansha,2025,6,ALL,ALL,0.6,HIGH,0.6,HIGH,1,2,-40,0
Hai phong,2025,6,ALL,ALL,0.2,HIGH,1,HIGH,2,5.6,-33.3,0
Busan,2025,6,ALL,ALL,0.5,LOW,0.8,LOW,1.8,3,0,-11.1
Yantian,2025,5,ALL,ALL,1,LOW,1.4,LOW,1,0.5,100,40
Vung tau,2025,5,ALL,ALL,0.3,MEDIUM,1.5,MEDIUM,,11,50,66.7
Tianjin,2025,5,ALL,ALL,0.7,MEDIUM,1.2,MEDIUM,3.9,3.8,0,0
Tanjung pelepas,2025,5,ALL,ALL,0.6,HIGH,0.8,HIGH,1.1,0.7,0,0
Singapore,2025,5,ALL,ALL,0.9,MEDIUM,0.8,MEDIUM,3.7,4,-25,0
Shanghai,2025,5,ALL,ALL,2,LOW,0.6,LOW,2,4.1,17.6,-14.3
Qingdao,2025,5,ALL,ALL,0.9,HIGH,0.9,HIGH,1.1,4.8,28.6,12.5
Ningbo,2025,5,ALL,ALL,1.5,HIGH,0.9,HIGH,1.7,1.3,25,0
Nansha,2025,5,ALL,ALL,1,LOW,0.6,LOW,1.4,2.3,100,-14.3
Hai phong,2025,5,ALL,ALL,0.3,HIGH,1,HIGH,0.8,5.4,0,0
Busan,2025,5,ALL,ALL,0.5,HIGH,0.9,HIGH,1.6,3.1,25,0
Yantian,2025,4,ALL,ALL,0.5,MEDIUM,1,MEDIUM,0.8,0.5,25,0
Vung tau,2025,4,ALL,ALL,0.2,LOW,0.9,LOW,,0.6,-80,-83.6
Tianjin,2025,4,ALL,ALL,0.7,HIGH,1.2,HIGH,4.1,2.9,0,-7.7
